EnodeB_id,cell_id,measurement_end,RRC_ConnEstabAtt_Em,RRC_ConnEstabAtt_Hpa,RRC_ConnEstabAtt_Mod,RRC_ConnEstabAtt_Mos,RRC_ConnEstabAtt_Mta,RRC_ConnEstabAtt,RRC_ConnReEstabAtt_Em,RRC_ConnReEstabAtt_Hpa,RRC_ConnReEstabAtt_Mod,RRC_ConnReEstabAtt_Mos,RRC_ConnReEstabAtt_Mta,RRC_ConnReEstabAtt,RRC_ConnEstabSucc_Em,RRC_ConnEstabSucc_Hpa,RRC_ConnEstabSucc_Mod,RRC_ConnEstabSucc_Mos,RRC_ConnEstabSucc_Mta,RRC_ConnEstabSucc,RRC_ConnMax,S1SIG_ConnEstabAtt_Em,S1SIG_ConnEstabAtt_Hpa,S1SIG_ConnEstabAtt_Mod,S1SIG_ConnEstabAtt_Mos,S1SIG_ConnEstabAtt_Mta,S1SIG_ConnEstabAtt,S1SIG_ConnEstabSucc_Em,S1SIG_ConnEstabSucc_Hpa,S1SIG_ConnEstabSucc_Mod,S1SIG_ConnEstabSucc_Mos,S1SIG_ConnEstabSucc_Mta,S1SIG_ConnEstabSucc,ERAB_EstabInitAttNbr_QCI1,ERAB_EstabInitAttNbr_QCI2,ERAB_EstabInitAttNbr_QCI3,ERAB_EstabInitAttNbr_QCI4,ERAB_EstabInitAttNbr_QCI5,ERAB_EstabInitAttNbr_QCI6,ERAB_EstabInitAttNbr_QCI7,ERAB_EstabInitAttNbr_QCI8,ERAB_EstabInitAttNbr_QCI9,ERAB_EstabInitSuccNbr_QCI1,ERAB_EstabInitSuccNbr_QCI2,ERAB_EstabInitSuccNbr_QCI3,ERAB_EstabInitSuccNbr_QCI4,ERAB_EstabInitSuccNbr_QCI5,ERAB_EstabInitSuccNbr_QCI6,ERAB_EstabInitSuccNbr_QCI7,ERAB_EstabInitSuccNbr_QCI8,ERAB_EstabInitSuccNbr_QCI9,ERAB_EstabAddAttNbr_QCI,ERAB_EstabAddSuccNbr_QCI,ERAB_SessionTimeQCI_QCI,ERAB_RelActNbr_QCI1,ERAB_RelActNbr_QCI2,ERAB_RelActNbr_QCI3,ERAB_RelActNbr_QCI4,ERAB_RelActNbr_QCI5,ERAB_RelActNbr_QCI6,ERAB_RelActNbr_QCI7,ERAB_RelActNbr_QCI8,ERAB_RelActNbr_QCI9,ERAB_SessionTimeUE,UL_RSSI
1,12314,11/20/2025 00:00:00,0,0,283,14,186,483,0,0,0,0,0,0,0,0,277,14,182,473,33,0,0,268,12,167,447,0,0,265,12,165,442,19,5,9,43,33,14,24,118,166,19,5,9,43,33,14,24,117,166,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1940|807|476|2228|816|2925|1233|4510|4739,3,1,0,1,0,1,0,2,1,20907,
1,12314,11/20/2025 00:15:00,0,0,229,17,157,403,0,0,0,0,0,0,0,0,227,17,154,398,24,0,0,276,16,177,469,0,0,273,16,173,462,16,8,4,40,28,8,16,119,123,16,8,4,40,27,8,16,118,121,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1788|790|476|1883|770|2418|994|4613|4546,2,0,0,0,0,0,0,1,1,18384,
1,12314,11/20/2025 00:30:00,0,0,227,18,159,404,0,0,0,0,0,0,0,0,225,18,157,400,33,0,0,249,17,151,417,0,0,247,17,149,413,20,8,4,36,28,8,16,116,136,20,8,4,36,28,8,16,115,135,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1687|711|477|1744|733|2741|1098|4196|4279,3,0,0,1,0,1,0,1,1,17482,
1,12314,11/20/2025 00:45:00,0,0,243,8,147,398,0,0,0,0,0,0,0,0,238,8,146,392,30,0,0,206,13,132,351,0,0,204,13,129,346,16,8,4,39,27,8,20,102,137,16,8,4,39,26,8,20,102,134,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1543|559|409|1556|772|2780|847|3660|4062,2,0,0,0,0,1,0,1,1,15631,
1,12314,11/20/2025 01:00:00,0,0,207,17,136,360,0,0,0,0,0,0,0,0,203,17,133,353,28,0,0,213,11,118,342,0,0,209,11,116,336,18,4,7,35,25,11,18,88,106,18,4,7,35,25,11,18,88,106,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1496|606|394|1669|648|2581|946|3832|3652,2,0,0,0,0,1,0,1,1,15329,
1,12314,11/20/2025 01:15:00,0,0,203,11,108,322,0,0,0,0,0,0,0,0,201,11,106,318,24,0,0,212,12,110,334,0,0,210,12,108,330,13,6,6,29,25,6,13,80,111,13,6,6,28,25,6,13,80,111,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1379|516|325|1441|553|2117|856|3041|3583,2,0,0,0,0,0,0,1,0,13931,
1,12314,11/20/2025 01:30:00,0,0,194,12,110,316,0,0,0,0,0,0,0,0,190,12,108,310,22,0,0,196,14,120,330,0,0,194,14,119,327,16,6,6,28,25,6,12,78,109,16,6,6,27,25,6,12,77,107,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1281|369|330|1241|528|2132|782|2955|3213,2,0,0,0,0,0,0,1,1,13722,
1,12314,11/20/2025 01:45:00,0,0,167,11,97,275,0,0,0,0,0,0,0,0,165,11,95,271,23,0,0,178,7,119,304,0,0,176,7,118,301,11,3,5,24,19,8,14,70,81,11,3,5,24,19,8,14,70,81,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1188|343|307|1224|495|2196|644|2589|2888,2,0,0,0,0,0,0,1,0,12303,
1,12314,11/20/2025 02:00:00,0,0,172,9,111,292,0,0,0,0,0,0,0,0,169,9,110,288,15,0,0,172,7,98,277,0,0,169,7,96,272,14,6,3,26,20,9,12,75,86,14,6,3,26,20,9,12,75,84,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1116|420|281|1159|571|1713|717|2724|2871,1,0,0,0,0,1,0,0,1,12743,
1,12314,11/20/2025 02:15:00,0,0,149,13,110,272,0,0,0,0,0,0,0,0,146,13,108,267,20,0,0,153,8,95,256,0,0,150,8,94,252,11,5,3,27,21,5,11,75,91,11,5,3,27,21,5,11,74,90,0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0,1123|305|268|1028|404|1696|654|2816|2790,2,0,0,0,0,0,0,0,0,11277,
