"PROCEDURE_TYPE","STARTTIME","ENDTIME","START_ENODEB_ID","START_CELL_ID","S1_SIG_CONN_SETUP_SIG_CONN_RESULT"
"INITIAL_ATTACH","11/24/2025 15:00:00","11/24/2025 15:00:05","1","12314","FAILURE"
"RRC_SETUP","11/24/2025 15:00:05","11/24/2025 15:00:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:00:10","11/24/2025 15:00:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:00:20","11/24/2025 15:00:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:00:30","11/24/2025 15:00:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:00:45","11/24/2025 15:01:00","1","12314","FAILURE"
"ERAB_SETUP","11/24/2025 15:01:00","11/24/2025 15:01:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:01:30","11/24/2025 15:01:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:01:50","11/24/2025 15:02:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:02:05","11/24/2025 15:02:20","1","12314",""
"DETACH","11/24/2025 15:02:20","11/24/2025 15:02:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:04:00","11/24/2025 15:04:05","1","12314","FAILURE"
"RRC_SETUP","11/24/2025 15:04:05","11/24/2025 15:04:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:04:10","11/24/2025 15:04:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:04:20","11/24/2025 15:04:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:04:30","11/24/2025 15:04:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:04:45","11/24/2025 15:05:00","1","12314","FAILURE"
"ERAB_SETUP","11/24/2025 15:05:00","11/24/2025 15:05:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:05:30","11/24/2025 15:05:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:05:50","11/24/2025 15:06:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:06:05","11/24/2025 15:06:20","1","12314",""
"DETACH","11/24/2025 15:06:20","11/24/2025 15:06:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:08:00","11/24/2025 15:08:05","1","12314","FAILURE"
"RRC_SETUP","11/24/2025 15:08:05","11/24/2025 15:08:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:08:10","11/24/2025 15:08:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:08:20","11/24/2025 15:08:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:08:30","11/24/2025 15:08:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:08:45","11/24/2025 15:09:00","1","12314","FAILURE"
"ERAB_SETUP","11/24/2025 15:09:00","11/24/2025 15:09:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:09:30","11/24/2025 15:09:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:09:50","11/24/2025 15:10:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:10:05","11/24/2025 15:10:20","1","12314",""
"DETACH","11/24/2025 15:10:20","11/24/2025 15:10:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:12:00","11/24/2025 15:12:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:12:05","11/24/2025 15:12:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:12:10","11/24/2025 15:12:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:12:20","11/24/2025 15:12:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:12:30","11/24/2025 15:12:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:12:45","11/24/2025 15:13:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:13:00","11/24/2025 15:13:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:13:30","11/24/2025 15:13:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:13:50","11/24/2025 15:14:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:14:05","11/24/2025 15:14:20","1","12314",""
"DETACH","11/24/2025 15:14:20","11/24/2025 15:14:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:16:00","11/24/2025 15:16:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:16:05","11/24/2025 15:16:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:16:10","11/24/2025 15:16:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:16:20","11/24/2025 15:16:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:16:30","11/24/2025 15:16:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:16:45","11/24/2025 15:17:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:17:00","11/24/2025 15:17:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:17:30","11/24/2025 15:17:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:17:50","11/24/2025 15:18:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:18:05","11/24/2025 15:18:20","1","12314",""
"DETACH","11/24/2025 15:18:20","11/24/2025 15:18:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:20:00","11/24/2025 15:20:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:20:05","11/24/2025 15:20:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:20:10","11/24/2025 15:20:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:20:20","11/24/2025 15:20:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:20:30","11/24/2025 15:20:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:20:45","11/24/2025 15:21:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:21:00","11/24/2025 15:21:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:21:30","11/24/2025 15:21:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:21:50","11/24/2025 15:22:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:22:05","11/24/2025 15:22:20","1","12314",""
"DETACH","11/24/2025 15:22:20","11/24/2025 15:22:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:24:00","11/24/2025 15:24:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:24:05","11/24/2025 15:24:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:24:10","11/24/2025 15:24:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:24:20","11/24/2025 15:24:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:24:30","11/24/2025 15:24:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:24:45","11/24/2025 15:25:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:25:00","11/24/2025 15:25:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:25:30","11/24/2025 15:25:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:25:50","11/24/2025 15:26:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:26:05","11/24/2025 15:26:20","1","12314",""
"DETACH","11/24/2025 15:26:20","11/24/2025 15:26:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:28:00","11/24/2025 15:28:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:28:05","11/24/2025 15:28:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:28:10","11/24/2025 15:28:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:28:20","11/24/2025 15:28:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:28:30","11/24/2025 15:28:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:28:45","11/24/2025 15:29:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:29:00","11/24/2025 15:29:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:29:30","11/24/2025 15:29:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:29:50","11/24/2025 15:30:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:30:05","11/24/2025 15:30:20","1","12314",""
"DETACH","11/24/2025 15:30:20","11/24/2025 15:30:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:32:00","11/24/2025 15:32:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:32:05","11/24/2025 15:32:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:32:10","11/24/2025 15:32:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:32:20","11/24/2025 15:32:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:32:30","11/24/2025 15:32:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:32:45","11/24/2025 15:33:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:33:00","11/24/2025 15:33:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:33:30","11/24/2025 15:33:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:33:50","11/24/2025 15:34:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:34:05","11/24/2025 15:34:20","1","12314",""
"DETACH","11/24/2025 15:34:20","11/24/2025 15:34:40","1","12314",""
"INITIAL_ATTACH","11/24/2025 15:36:00","11/24/2025 15:36:05","1","12314","SUCCESS"
"RRC_SETUP","11/24/2025 15:36:05","11/24/2025 15:36:10","1","12314",""
"INITIAL_CTXT","11/24/2025 15:36:10","11/24/2025 15:36:20","1","12314","SUCCESS"
"DEFAULT_BEARER_ACTIVATION","11/24/2025 15:36:20","11/24/2025 15:36:30","1","12314",""
"DEDICATED_BEARER_ACTIVATION","11/24/2025 15:36:30","11/24/2025 15:36:45","1","12314",""
"SERVICE_REQUEST","11/24/2025 15:36:45","11/24/2025 15:37:00","1","12314","SUCCESS"
"ERAB_SETUP","11/24/2025 15:37:00","11/24/2025 15:37:30","1","12314",""
"ERAB_MODIFY","11/24/2025 15:37:30","11/24/2025 15:37:50","1","12314",""
"TRACKING_AREA_UPDATE","11/24/2025 15:37:50","11/24/2025 15:38:05","1","12314",""
"ERAB_RELEASE","11/24/2025 15:38:05","11/24/2025 15:38:20","1","12314",""
"DETACH","11/24/2025 15:38:20","11/24/2025 15:38:40","1","12314",""
